_RAJ2000,_DEJ2000,SDSS,S_N,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,E_B-V_,pm
199.1942,58.4157,131639.94+582651.51,23,18.552,0.020,18.313,0.024,18.630,0.019,18.897,0.018,19.150,0.047,0.011,5.100
199.8612,59.8771,131937.73+595257.08,35,17.026,0.018,17.482,0.018,18.031,0.012,18.396,0.015,18.706,0.036,0.019,7.250
192.1090,66.6255,124824.49+663929.49,46,16.998,0.014,16.911,0.018,17.280,0.016,17.546,0.021,17.888,0.024,0.024,74.900
189.6490,66.0767,123827.91+660406.10,13,19.058,0.027,19.142,0.023,19.593,0.020,19.831,0.028,20.026,0.110,0.029,4.800
189.0245,66.7577,123602.42+664445.21,25,18.550,0.025,18.258,0.016,18.563,0.015,18.835,0.020,19.155,0.060,0.018,38.100
189.4000,68.0753,123742.30+680429.79,16,19.366,0.030,19.174,0.022,19.517,0.018,19.751,0.029,20.105,0.127,0.015,7.300
214.0111,63.1706,141617.37+631154.91,15,19.931,0.037,19.488,0.021,19.372,0.018,19.388,0.022,19.397,0.056,0.022,58.520
211.7998,63.8377,140704.32+634944.79,22,18.303,0.023,18.482,0.024,18.934,0.021,19.297,0.025,19.675,0.081,0.016,28.100
4.5847,33.7679,001817.47+334313.79,14,20.066,0.043,19.541,0.024,19.550,0.039,19.554,0.027,19.775,0.085,0.057,13.000
343.2799,31.5472,225309.34+313629.64,23,18.474,0.022,18.499,0.016,18.874,0.012,19.193,0.018,19.397,0.057,0.053,17.700
342.9160,32.2908,225125.52+321858.43,19,18.856,0.027,19.072,0.014,19.459,0.014,19.714,0.022,20.023,0.095,0.116,4.420
341.3165,32.4392,224520.15+322456.48,27,18.087,0.024,18.178,0.016,18.604,0.021,18.866,0.021,19.270,0.067,0.145,18.880
340.1084,31.8235,224019.49+314838.20,28,18.568,0.025,18.433,0.016,18.599,0.020,18.795,0.027,19.023,0.046,0.126,34.210
339.2363,32.6601,223656.92+323820.81,23,18.965,0.029,19.033,0.015,19.352,0.014,19.686,0.028,20.053,0.115,0.077,13.300
339.6722,33.1238,223834.82+330919.30,30,18.446,0.025,18.240,0.015,18.500,0.024,18.778,0.032,18.990,0.050,0.087,28.000
340.4540,32.9380,224136.40+325608.92,42,18.636,0.027,17.555,0.013,17.814,0.010,18.034,0.023,18.235,0.035,0.084,32.300
359.8387,-8.3058,235916.13-081555.50,22,18.977,0.083,18.286,0.023,18.298,0.015,18.348,0.019,18.441,0.038,0.033,80.100
22.2545,-7.3438,012854.44-072140.34,28,19.124,0.028,18.560,0.019,18.690,0.016,18.831,0.019,19.129,0.054,0.030,73.300
22.4533,-7.5383,012948.51-073204.57,11,20.817,0.087,19.776,0.024,19.681,0.024,19.790,0.026,19.627,0.083,0.034,5.400
0.9632,-9.9709,000347.16-095740.16,59,16.484,0.010,16.609,0.017,16.943,0.012,17.240,0.017,17.518,0.023,0.032,8.000
28.1765,-10.2608,015244.32-101620.81,15,19.208,0.025,19.269,0.027,19.624,0.023,19.973,0.037,20.283,0.190,0.024,8.400
28.0818,-9.0546,015211.73-090502.59,27,18.820,0.028,18.753,0.022,19.030,0.021,19.341,0.023,19.661,0.118,0.023,23.300
125.9019,54.2936,082346.47+541546.11,14,19.194,0.026,19.472,0.020,19.845,0.025,20.247,0.041,20.543,0.220,0.048,19.100
122.7874,57.4705,081117.40+572623.51,13,19.581,0.031,19.354,0.019,19.557,0.022,19.713,0.027,19.622,0.068,0.047,83.300
122.8111,54.4583,081101.81+542746.56,12,20.046,0.044,19.884,0.021,20.195,0.030,20.459,0.048,20.870,0.230,0.042,9.100
135.4068,50.7478,090120.66+504414.33,17,19.865,0.033,19.418,0.016,19.621,0.018,19.805,0.028,20.035,0.096,0.027,17.500
158.2705,48.0197,103306.41+475938.01,20,18.408,0.025,18.683,0.032,19.137,0.018,19.524,0.024,19.802,0.087,0.016,4.360
172.1132,46.1192,112825.97+460839.15,14,19.620,0.041,19.160,0.034,19.275,0.019,19.429,0.027,19.717,0.085,0.018,51.300
200.1266,45.7531,132029.87+454511.34,17,19.343,0.041,18.867,0.019,19.052,0.031,19.599,0.220,19.648,0.514,0.039,32.200
199.4322,47.2782,131743.19+471359.00,15,19.580,0.030,19.508,0.022,19.782,0.020,20.068,0.029,20.331,0.107,0.014,40.400
197.0261,47.2642,130803.02+471415.24,17,19.357,0.028,18.975,0.017,19.205,0.017,19.502,0.026,19.640,0.069,0.009,46.900
198.8599,46.5588,131523.15+463242.59,15,19.030,0.023,19.141,0.024,19.595,0.020,19.867,0.023,20.103,0.089,0.011,25.300
185.6159,45.9712,122226.90+455742.34,17,19.534,0.034,19.042,0.016,19.168,0.020,19.336,0.024,19.613,0.091,0.013,38.100
207.9527,45.4367,135149.28+452756.16,14,19.032,0.023,19.380,0.034,19.857,0.023,20.208,0.033,20.485,0.134,0.016,22.090
142.9962,61.5338,093156.19+613017.61,11,20.650,0.067,19.946,0.030,19.993,0.028,20.134,0.038,20.115,0.128,0.038,5.800
141.0691,61.1024,092411.55+610437.79,15,19.550,0.029,19.304,0.027,19.557,0.019,19.827,0.029,19.980,0.099,0.025,24.400
139.4774,61.9400,091808.86+615441.66,17,19.246,0.029,19.143,0.016,19.474,0.023,19.896,0.035,20.064,0.112,0.030,112.200
140.8730,62.2611,092324.44+621511.67,16,19.136,0.033,19.142,0.022,19.539,0.024,19.924,0.035,20.301,0.140,0.025,5.500
134.9834,47.2876,085955.55+471504.21,25,17.847,0.028,17.467,0.062,17.579,0.159,17.655,0.233,18.029,0.451,0.023,0.000
